chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,128MB,auto,10.24 GB,hal1D,24,128gb,8,anomaly,3.7554616928100586,False,1,1
10,128MB,auto,10.24 GB,hal1D,24,128gb,8,climatology,2.14384126663208,False,1,1
10,128MB,auto,10.24 GB,hal1D,24,128gb,8,spatial_mean,1.7473978996276855,False,1,1
10,128MB,auto,10.24 GB,hal1D,24,128gb,8,temporal_mean,1.3149771690368652,False,1,1
10,128MB,spatial,10.24 GB,hal1D,24,128gb,8,anomaly,8.226964473724365,False,1,1
10,128MB,spatial,10.24 GB,hal1D,24,128gb,8,climatology,1.9077208042144775,False,1,1
10,128MB,spatial,10.24 GB,hal1D,24,128gb,8,spatial_mean,2.88940691947937,False,1,1
10,128MB,spatial,10.24 GB,hal1D,24,128gb,8,temporal_mean,1.354729175567627,False,1,1
10,128MB,temporal,10.24 GB,hal1D,24,128gb,8,anomaly,5.678033351898193,False,1,1
10,128MB,temporal,10.24 GB,hal1D,24,128gb,8,climatology,2.088801145553589,False,1,1
10,128MB,temporal,10.24 GB,hal1D,24,128gb,8,spatial_mean,1.8106393814086914,False,1,1
10,128MB,temporal,10.24 GB,hal1D,24,128gb,8,temporal_mean,1.4990606307983398,False,1,1
10,256MB,auto,20.48 GB,hal1D,24,128gb,8,anomaly,6.990362644195557,False,1,1
10,256MB,auto,20.48 GB,hal1D,24,128gb,8,climatology,3.555023431777954,False,1,1
10,256MB,auto,20.48 GB,hal1D,24,128gb,8,spatial_mean,3.625687599182129,False,1,1
10,256MB,auto,20.48 GB,hal1D,24,128gb,8,temporal_mean,2.7084848880767822,False,1,1
10,256MB,spatial,20.48 GB,hal1D,24,128gb,8,anomaly,16.90176820755005,False,1,1
10,256MB,spatial,20.48 GB,hal1D,24,128gb,8,climatology,3.949587821960449,False,1,1
10,256MB,spatial,20.48 GB,hal1D,24,128gb,8,spatial_mean,4.1720311641693115,False,1,1
10,256MB,spatial,20.48 GB,hal1D,24,128gb,8,temporal_mean,2.576488971710205,False,1,1
10,256MB,temporal,20.48 GB,hal1D,24,128gb,8,anomaly,11.735095500946045,False,1,1
10,256MB,temporal,20.48 GB,hal1D,24,128gb,8,climatology,3.9631292819976807,False,1,1
10,256MB,temporal,20.48 GB,hal1D,24,128gb,8,spatial_mean,3.489353895187378,False,1,1
10,256MB,temporal,20.48 GB,hal1D,24,128gb,8,temporal_mean,2.754316806793213,False,1,1
10,512MB,auto,40.96 GB,hal1D,24,128gb,8,anomaly,21.23554754257202,False,1,1
10,512MB,auto,40.96 GB,hal1D,24,128gb,8,climatology,7.335019826889038,False,1,1
10,512MB,auto,40.96 GB,hal1D,24,128gb,8,spatial_mean,6.941316366195679,False,1,1
10,512MB,auto,40.96 GB,hal1D,24,128gb,8,temporal_mean,5.069861650466919,False,1,1
10,512MB,spatial,40.96 GB,hal1D,24,128gb,8,anomaly,57.31080770492554,False,1,1
10,512MB,spatial,40.96 GB,hal1D,24,128gb,8,climatology,7.342455148696899,False,1,1
10,512MB,spatial,40.96 GB,hal1D,24,128gb,8,spatial_mean,8.77453875541687,False,1,1
10,512MB,spatial,40.96 GB,hal1D,24,128gb,8,temporal_mean,5.0759665966033936,False,1,1
10,512MB,temporal,40.96 GB,hal1D,24,128gb,8,anomaly,14.195192813873291,False,1,1
10,512MB,temporal,40.96 GB,hal1D,24,128gb,8,climatology,7.27028751373291,False,1,1
10,512MB,temporal,40.96 GB,hal1D,24,128gb,8,spatial_mean,7.419508218765259,False,1,1
10,512MB,temporal,40.96 GB,hal1D,24,128gb,8,temporal_mean,5.204203128814697,False,1,1
10,64MB,auto,5.12 GB,hal1D,24,128gb,8,anomaly,1.9996209144592285,False,1,1
10,64MB,auto,5.12 GB,hal1D,24,128gb,8,climatology,1.1274058818817139,False,1,1
10,64MB,auto,5.12 GB,hal1D,24,128gb,8,spatial_mean,0.9338982105255127,False,1,1
10,64MB,auto,5.12 GB,hal1D,24,128gb,8,temporal_mean,0.7348968982696533,False,1,1
10,64MB,spatial,5.12 GB,hal1D,24,128gb,8,anomaly,4.020268201828003,False,1,1
10,64MB,spatial,5.12 GB,hal1D,24,128gb,8,climatology,1.228792428970337,False,1,1
10,64MB,spatial,5.12 GB,hal1D,24,128gb,8,spatial_mean,1.3691661357879639,False,1,1
10,64MB,spatial,5.12 GB,hal1D,24,128gb,8,temporal_mean,0.7360098361968994,False,1,1
10,64MB,temporal,5.12 GB,hal1D,24,128gb,8,anomaly,1.6688416004180908,False,1,1
10,64MB,temporal,5.12 GB,hal1D,24,128gb,8,climatology,1.5515940189361572,False,1,1
10,64MB,temporal,5.12 GB,hal1D,24,128gb,8,spatial_mean,0.9290452003479004,False,1,1
10,64MB,temporal,5.12 GB,hal1D,24,128gb,8,temporal_mean,0.7555677890777588,False,1,1
